field,date,product,volume_net,volume_gross,unit,avg_lat,avg_lon,fldMainArea,status,hc_type
BRAGE,1999-04-01,Oil,0.3905,0.39088,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,1999-05-01,Gas,0.01824,0.03202,bill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,1999-05-01,NGL,0.01378,0.0,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,1999-05-01,Oil,0.36919,0.37191,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,1999-06-01,Gas,0.01308,0.02039,bill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,1999-06-01,NGL,0.00974,0.0,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,1999-06-01,Oil,0.21971,0.22167,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,1999-07-01,Gas,0.01885,0.03132,bill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,1999-07-01,NGL,0.01248,0.0,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,1999-07-01,Oil,0.3598,0.3622,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,1999-08-01,Gas,0.01605,0.02739,bill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,1999-08-01,NGL,0.01117,0.0,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,1999-08-01,Oil,0.33358,0.3348,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,1999-09-01,Gas,0.00961,0.02313,bill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,1999-09-01,NGL,0.00704,0.0,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,1999-09-01,Oil,0.29582,0.2996,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,1999-10-01,Gas,0.00598,0.02215,bill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,1999-10-01,NGL,0.00415,0.0,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,1999-10-01,Oil,0.28827,0.29006,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,1999-11-01,Gas,0.00454,0.0199,bill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,1999-11-01,NGL,0.00369,0.0,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,1999-11-01,Oil,0.25512,0.25899,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,1999-12-01,Gas,0.00658,0.02501,bill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,1999-12-01,NGL,0.00464,0.0,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,1999-12-01,Oil,0.30752,0.31123,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2000-01-01,Gas,0.00551,0.02258,bill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2000-01-01,NGL,0.00352,0.0,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2000-01-01,Oil,0.23318,0.23502,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2000-02-01,Gas,0.01053,0.02476,bill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2000-02-01,NGL,0.00714,0.0,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2000-02-01,Oil,0.2381,0.23877,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2000-03-01,Gas,0.01542,0.02437,bill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2000-03-01,NGL,0.00958,0.0,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2000-03-01,Oil,0.21521,0.21869,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2000-04-01,Gas,0.01467,0.02231,bill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2000-04-01,NGL,0.00921,0.0,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2000-04-01,Oil,0.21256,0.21336,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2000-05-01,Gas,0.01381,0.02388,bill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2000-05-01,NGL,0.01058,0.0,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2000-05-01,Oil,0.24238,0.24371,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2000-06-01,Gas,0.0138,0.02208,bill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2000-06-01,NGL,0.00945,0.0,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2000-06-01,Oil,0.22712,0.23032,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2000-07-01,Gas,0.01378,0.02373,bill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2000-07-01,NGL,0.0092,0.0,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2000-07-01,Oil,0.2309,0.23007,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2000-08-01,Gas,0.01362,0.0235,bill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2000-08-01,NGL,0.01044,0.0,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2000-08-01,Oil,0.22684,0.22964,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2000-09-01,Gas,0.01183,0.02285,bill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2000-09-01,NGL,0.00903,0.0,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2000-09-01,Oil,0.20103,0.20013,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2000-10-01,Gas,0.01202,0.02431,bill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2000-10-01,NGL,0.00819,0.0,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2000-10-01,Oil,0.19413,0.19472,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2000-11-01,Gas,0.01341,0.02515,bill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2000-11-01,NGL,0.01473,0.0,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2000-11-01,Oil,0.20746,0.20905,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2000-12-01,Gas,0.01105,0.02133,bill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2000-12-01,NGL,0.01361,0.0,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2000-12-01,Oil,0.20381,0.20341,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2001-01-01,Gas,0.01488,0.02694,bill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2001-01-01,NGL,0.01484,0.0,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2001-01-01,Oil,0.23077,0.23332,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2001-02-01,Gas,0.01312,0.02442,bill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2001-02-01,NGL,0.013,0.0,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2001-02-01,Oil,0.1957,0.19653,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2001-03-01,Gas,0.01538,0.0272,bill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2001-03-01,NGL,0.01442,0.0,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2001-03-01,Oil,0.20272,0.20295,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2001-04-01,Gas,0.0166,0.02615,bill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2001-04-01,NGL,0.01579,0.0,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2001-04-01,Oil,0.205,0.20728,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2001-05-01,Gas,0.01989,0.03147,bill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2001-05-01,NGL,0.01845,0.0,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2001-05-01,Oil,0.21386,0.21654,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2001-06-01,Gas,0.01026,0.01734,bill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2001-06-01,NGL,0.0094,0.0,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2001-06-01,Oil,0.11038,0.11096,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2001-07-01,Gas,0.01054,0.02328,bill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2001-07-01,NGL,0.01038,0.0,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2001-07-01,Oil,0.18095,0.18301,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2001-08-01,Gas,0.01451,0.02689,bill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2001-08-01,NGL,0.01323,0.0,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2001-08-01,Oil,0.19664,0.1967,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2001-09-01,Gas,0.0147,0.0269,bill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2001-09-01,NGL,0.0123,0.0,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2001-09-01,Oil,0.18757,0.18814,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2001-10-01,Gas,0.01398,0.02703,bill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2001-10-01,NGL,0.01291,0.0,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2001-10-01,Oil,0.18546,0.18549,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2001-11-01,Gas,0.01292,0.02562,bill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2001-11-01,NGL,0.01236,0.0,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2001-11-01,Oil,0.16649,0.16738,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2001-12-01,Gas,0.0105,0.02285,bill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2001-12-01,NGL,0.01071,0.0,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2001-12-01,Oil,0.15331,0.15284,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2002-01-01,Gas,0.013,0.02524,bill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2002-01-01,NGL,0.01194,0.0,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2002-01-01,Oil,0.2012,0.20185,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2002-02-01,Gas,0.01095,0.0224,bill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
