field,date,product,volume,unit
SNORRE,1995-02-01,Gas,0.09283,bill_sm3
SNORRE,1995-03-01,Gas,0.0863,bill_sm3
SNORRE,1995-04-01,Gas,0.07828,bill_sm3
SNORRE,1995-05-01,Gas,0.0681,bill_sm3
SNORRE,1995-06-01,Gas,0.10404,bill_sm3
SNORRE,1995-07-01,Gas,0.09634,bill_sm3
SNORRE,1995-08-01,Gas,0.11043,bill_sm3
SNORRE,1995-09-01,Gas,0.09742,bill_sm3
SNORRE,1995-10-01,Gas,0.1133,bill_sm3
SNORRE,1995-11-01,Gas,0.10736,bill_sm3
SNORRE,1995-12-01,Gas,0.11756,bill_sm3
SNORRE,1996-01-01,Gas,0.10489,bill_sm3
SNORRE,1996-02-01,Gas,0.09752,bill_sm3
SNORRE,1996-03-01,Gas,0.04551,bill_sm3
SNORRE,1996-04-01,Gas,0.09833,bill_sm3
SNORRE,1996-05-01,Gas,0.10838,bill_sm3
SNORRE,1996-06-01,Gas,0.11948,bill_sm3
SNORRE,1996-07-01,Gas,0.1065,bill_sm3
SNORRE,1996-08-01,Gas,0.10881,bill_sm3
SNORRE,1996-09-01,Gas,0.11185,bill_sm3
SNORRE,1996-10-01,Gas,0.10909,bill_sm3
SNORRE,1996-11-01,Gas,0.09982,bill_sm3
SNORRE,1996-12-01,Gas,0.09678,bill_sm3
SNORRE,1997-01-01,Gas,0.11819,bill_sm3
SNORRE,1997-02-01,Gas,0.09666,bill_sm3
SNORRE,1997-03-01,Gas,0.09475,bill_sm3
SNORRE,1997-04-01,Gas,0.1221,bill_sm3
SNORRE,1997-05-01,Gas,0.10811,bill_sm3
SNORRE,1997-06-01,Gas,0.1022,bill_sm3
SNORRE,1997-07-01,Gas,0.08663,bill_sm3
SNORRE,1997-08-01,Gas,0.0948,bill_sm3
SNORRE,1997-09-01,Gas,0.08717,bill_sm3
SNORRE,1997-10-01,Gas,0.10342,bill_sm3
SNORRE,1997-11-01,Gas,0.09253,bill_sm3
SNORRE,1997-12-01,Gas,0.10436,bill_sm3
SNORRE,1998-01-01,Gas,0.11071,bill_sm3
SNORRE,1998-02-01,Gas,0.10106,bill_sm3
SNORRE,1998-03-01,Gas,0.11354,bill_sm3
SNORRE,1998-04-01,Gas,0.12024,bill_sm3
SNORRE,1998-05-01,Gas,0.04018,bill_sm3
SNORRE,1998-06-01,Gas,0.13341,bill_sm3
SNORRE,1998-07-01,Gas,0.13055,bill_sm3
SNORRE,1998-08-01,Gas,0.12609,bill_sm3
SNORRE,1998-09-01,Gas,0.13116,bill_sm3
SNORRE,1998-10-01,Gas,0.12391,bill_sm3
SNORRE,1998-11-01,Gas,0.10905,bill_sm3
SNORRE,1998-12-01,Gas,0.12666,bill_sm3
SNORRE,1999-01-01,Gas,0.12317,bill_sm3
SNORRE,1999-02-01,Gas,0.11528,bill_sm3
SNORRE,1999-03-01,Gas,0.12241,bill_sm3
SNORRE,1999-04-01,Gas,0.15114,bill_sm3
SNORRE,1999-05-01,Gas,0.11387,bill_sm3
SNORRE,1999-06-01,Gas,0.13481,bill_sm3
SNORRE,1999-07-01,Gas,0.10747,bill_sm3
SNORRE,1999-08-01,Gas,0.11628,bill_sm3
SNORRE,1999-09-01,Gas,0.10228,bill_sm3
SNORRE,1999-10-01,Gas,0.12864,bill_sm3
SNORRE,1999-11-01,Gas,0.11373,bill_sm3
SNORRE,1999-12-01,Gas,0.10939,bill_sm3
SNORRE,2000-01-01,Gas,0.11513,bill_sm3
