fldName,avg_lat,avg_lon,fldMainArea,status,hc_type
GYDA,56.90371243548387,3.084746370967742,North sea,Shut down,OIL
HALTEN ØST,64.8912474375,7.5482815625,Norwegian sea,Producing,GAS/CONDENSATE
HANZ,59.0449158,2.2351714,North sea,Producing,OIL/GAS
HEIDRUN,65.33601434134616,7.324322360576923,Norwegian sea,Producing,OIL/GAS
HEIMDAL,59.5755888125,2.2250609375,North sea,Shut down,OIL/GAS
HOD,56.18557281481481,3.4603467407407407,North sea,Producing,OIL
HUGIN,59.84001478571429,2.556771142857143,North sea,Approved for production,OIL/GAS
HULDRA,60.862821636363634,2.6552527272727273,North sea,Shut down,GAS/CONDENSATE
HYME,64.355125,7.554899666666667,Norwegian sea,Producing,OIL
IDUN NORD,65.82353066666667,7.718457666666667,Norwegian sea,Approved for production,GAS
IRPA,67.016222,5.296611,Norwegian sea,Approved for production,GAS
IVAR AASEN,58.921445388888884,2.200240462962963,North sea,Producing,OIL
JETTE,59.3991006,2.3553992,North sea,Shut down,OIL
JOHAN CASTBERG,72.47127634210526,20.265113236842105,Barents sea,Producing,OIL/GAS
JOHAN SVERDRUP,58.822260433628315,2.5857241592920355,North sea,Producing,OIL
JOTUN,59.450086279069765,2.367771348837209,North sea,Shut down,OIL
KNARR,61.7809590967742,2.761478129032258,North sea,Shut down,OIL
KRISTIN,64.92120175609756,6.480295731707317,Norwegian sea,Producing,GAS/CONDENSATE
KVITEBJØRN,61.08079589655172,2.5005948620689655,North sea,Producing,GAS/CONDENSATE
LILLE-FRIGG,59.966798857142855,2.389646857142857,North sea,Shut down,GAS/CONDENSATE
MARIA,64.95645213333333,6.962385666666666,Norwegian sea,Producing,OIL
MARTIN LINGE,60.50503353125,2.017589,North sea,Producing,OIL/GAS
MARULK,65.93198933333333,7.547271833333333,Norwegian sea,Producing,GAS
MIKKEL,64.67115914285715,7.672375714285715,Norwegian sea,Producing,GAS/CONDENSATE
MIME,57.125376800000005,2.4885964,North sea,Shut down,OIL
MORVIN,65.14306071428572,6.475105,Norwegian sea,Producing,OIL/GAS
MUNIN,60.16152992857143,2.5589913214285716,North sea,Approved for production,OIL/GAS
NJORD,64.27260290566038,7.195179377358491,Norwegian sea,Producing,OIL
NORDØST FRIGG,59.986921124999995,2.24989025,North sea,Shut down,GAS
NORNE,66.02316114285715,8.068750095238094,Norwegian sea,Producing,OIL/GAS
NOVA,61.27612992857143,3.6696984285714285,North sea,Producing,OIL
ODA,57.07036888888889,3.058645888888889,North sea,Producing,OIL
ODIN,60.07559153846153,2.1655666923076926,North sea,Shut down,GAS
ORMEN LANGE,63.49384156097561,5.356834463414634,Norwegian sea,Producing,GAS
OSEBERG,60.53149341055718,2.7895931436950145,North sea,Producing,OIL/GAS
OSEBERG SØR,60.37685855704698,2.8003740268456374,North sea,Producing,OIL/GAS
OSEBERG ØST,60.70142983018868,2.936485698113207,North sea,Producing,OIL
OSELVAR,56.93273057142857,2.686803571428572,North sea,Shut down,GAS
REV,58.02985727272728,1.9223496363636363,North sea,Producing,OIL/GAS
RINGHORNE ØST,59.268763916666664,2.4545660833333334,North sea,Producing,OIL
SIGYN,58.30889366666666,2.041933666666667,North sea,Producing,GAS/CONDENSATE
SINDRE,61.215127499999994,2.27418575,North sea,Producing,OIL/GAS
SKARV,65.72439941304347,7.619993326086957,Norwegian sea,Producing,OIL/GAS
SKIRNE,59.599569599999995,2.571927266666667,North sea,Shut down,GAS/CONDENSATE
SKOGUL,59.79281833333334,2.1945230000000002,North sea,Producing,OIL
SKULD,66.18663447368421,8.279361052631579,Norwegian sea,Producing,OIL
SLEIPNER VEST,58.43511259615384,1.7214024423076923,North sea,Producing,GAS/CONDENSATE
SLEIPNER ØST,58.37645682926829,1.9110853414634148,North sea,Producing,GAS/CONDENSATE
SNORRE,61.48364033505155,2.1794466546391753,North sea,Producing,OIL
SNØHVIT,71.50784434146341,21.048289731707317,Barents sea,Producing,GAS
SOLVEIG,58.684516933333335,2.2177710666666663,North sea,Producing,OIL
STATFJORD,61.25242631435079,1.863392722095672,North sea,Producing,OIL
STATFJORD NORD,61.44144521739131,1.9359582608695651,North sea,Producing,OIL
STATFJORD ØST,61.33394781481482,1.9821997037037038,North sea,Producing,OIL
SVALIN,59.1487425,2.43042775,North sea,Producing,OIL
SYGNA,61.466840875,1.98369875,North sea,Producing,OIL
SYMRA,58.974926999999994,2.2888551428571433,North sea,Approved for production,OIL/GAS
TAMBAR,56.97939077777778,2.961308777777778,North sea,Producing,OIL
TAMBAR ØST,56.982769,2.958797,North sea,Producing,OIL
TOMMELITEN A,56.40546865,2.8995159999999998,North sea,Producing,GAS/CONDENSATE
TOMMELITEN GAMMA,56.48946608333333,2.9307269166666665,North sea,Shut down,GAS/CONDENSATE
TOR,56.641111736842106,3.3198025263157893,North sea,Producing,OIL
TORDIS,61.2765716122449,2.122131163265306,North sea,Producing,OIL
TRESTAKK,64.85976758333334,6.82519575,Norwegian sea,Producing,OIL
TROLL,60.8115335382746,3.5693234556500606,North sea,Producing,OIL/GAS
TROLL BRENT B,60.915224,3.544179666666667,North sea,Shut down,OIL
TRYM,56.387504750000005,4.23799625,North sea,Producing,GAS/CONDENSATE
TUNE,60.47135733333334,2.641708733333333,North sea,Producing,GAS/CONDENSATE
TYRIHANS,64.83395423913043,7.037088195652173,Norwegian sea,Producing,GAS/CONDENSATE
TYRVING,59.61585866666667,2.403862333333333,North sea,Producing,OIL
