field,date,product,volume,unit
STATFJORD ØST,2011-02-01,Oil,0.03472,mill_sm3
STATFJORD ØST,2011-03-01,Oil,0.03767,mill_sm3
STATFJORD ØST,2011-04-01,Oil,0.03612,mill_sm3
STATFJORD ØST,2011-05-01,Oil,0.03489,mill_sm3
STATFJORD ØST,2011-06-01,Oil,0.00931,mill_sm3
STATFJORD ØST,2011-07-01,Oil,0.03077,mill_sm3
STATFJORD ØST,2011-08-01,Oil,0.03712,mill_sm3
STATFJORD ØST,2011-09-01,Oil,0.03266,mill_sm3
STATFJORD ØST,2011-10-01,Oil,0.03913,mill_sm3
STATFJORD ØST,2011-11-01,Oil,0.03249,mill_sm3
STATFJORD ØST,2011-12-01,Oil,0.02863,mill_sm3
STATFJORD ØST,2012-01-01,Oil,0.02214,mill_sm3
STATFJORD ØST,2012-02-01,Oil,0.01975,mill_sm3
STATFJORD ØST,2012-03-01,Oil,0.03358,mill_sm3
STATFJORD ØST,2012-04-01,Oil,0.04579,mill_sm3
STATFJORD ØST,2012-05-01,Oil,0.05399,mill_sm3
STATFJORD ØST,2012-06-01,Oil,0.04515,mill_sm3
STATFJORD ØST,2012-07-01,Oil,0.04617,mill_sm3
STATFJORD ØST,2012-08-01,Oil,0.03811,mill_sm3
STATFJORD ØST,2012-09-01,Oil,0.03348,mill_sm3
STATFJORD ØST,2012-10-01,Oil,0.03742,mill_sm3
STATFJORD ØST,2012-11-01,Oil,0.04525,mill_sm3
STATFJORD ØST,2012-12-01,Oil,0.04092,mill_sm3
STATFJORD ØST,2013-01-01,Oil,0.03353,mill_sm3
STATFJORD ØST,2013-02-01,Oil,0.03199,mill_sm3
STATFJORD ØST,2013-03-01,Oil,0.03384,mill_sm3
STATFJORD ØST,2013-04-01,Oil,0.0323,mill_sm3
STATFJORD ØST,2013-05-01,Oil,0.03075,mill_sm3
STATFJORD ØST,2013-06-01,Oil,0.03149,mill_sm3
STATFJORD ØST,2013-07-01,Oil,0.02998,mill_sm3
STATFJORD ØST,2013-08-01,Oil,0.00204,mill_sm3
STATFJORD ØST,2013-09-01,Oil,0.02937,mill_sm3
STATFJORD ØST,2013-10-01,Oil,0.02822,mill_sm3
STATFJORD ØST,2013-11-01,Oil,0.02185,mill_sm3
STATFJORD ØST,2013-12-01,Oil,0.02837,mill_sm3
